card_name,card_type,color,cmc,power_rank,power_score,pctrank_power,deck_count,total_copies,unscored,unscored_reason,prevalence_flat,prevalence_placement,prevalence_prestige,prevalence_combined,pctrank_prevalence_flat,pctrank_prevalence_placement,pctrank_prevalence_prestige,pctrank_prevalence_combined,gap_flat,gap_placement,gap_prestige,gap_combined
Metamorphosis Fanatic,Creature,Black,6.0,13724.0,14020.0,33.78378378378378,37,78,False,scored,0.063363,0.007731,0.051552,0.015994,80.52208835341365,48.59437751004016,77.51004016064257,60.19076305220884,46.73830456962987,14.810593726256378,43.72625637685879,26.406979268425054
Swords to Plowshares,Instant,White,1.0,8289.0,19455.0,52.252252252252255,278,1091,False,scored,0.886271,1.037548,0.881882,0.97182,98.89558232931726,98.99598393574297,98.99598393574297,98.99598393574297,46.64333007706501,46.743731683490715,46.743731683490715,46.743731683490715
Leyline Binding,Enchantment,White,6.0,9978.0,17766.0,45.4954954954955,46,179,False,scored,0.14541,0.168415,0.173674,0.157273,91.26506024096385,91.91767068273093,92.570281124498,91.36546184738955,45.76956474546835,46.42217518723543,47.0747856290025,45.86996635189406
Anointed Peacekeeper,Creature,White,3.0,11965.0,15779.0,39.63963963963964,38,110,False,scored,0.089358,0.100497,0.1001,0.105864,84.83935742971887,85.89357429718875,86.34538152610442,86.04417670682732,45.199717790079234,46.25393465754911,46.70574188646478,46.404537067187675
Intuition,Instant,Blue,3.0,21741.0,6003.0,12.612612612612613,12,13,False,scored,0.010561,0.008283,0.012012,0.008759,57.47991967871486,49.096385542168676,59.63855421686747,51.40562248995984,44.86730706610224,36.48377292955606,47.025941604254854,38.793009877347224
Goblin Bombardment,Enchantment,Red,2.0,18396.0,9348.0,19.96996996996997,7,20,False,scored,0.016247,0.008835,0.023023,0.012186,64.20682730923694,50.30120481927711,67.9718875502008,56.42570281124498,44.236857339266976,30.33123484930714,48.00191758023084,36.45573284127501
Elite Spellbinder,Creature,White,3.0,11671.0,16073.0,41.291291291291294,34,112,False,scored,0.090983,0.153506,0.080581,0.156131,84.98995983935743,91.16465863453816,83.68473895582329,91.26506024096385,43.69866854806613,49.87336734324686,42.393447664532,49.973768949672554
"Birgi, God of Storytelling",Creature,Red,3.0,23440.0,4304.0,8.408408408408409,3,9,False,scored,0.007311,0.016565,0.007508,0.022848,51.907630522088354,58.8855421686747,52.359437751004016,65.11044176706827,43.49922211367995,50.477133760266284,43.951029342595604,56.70203335865986
Goblin Rabblemaster,Creature,Red,3.0,10424.0,17320.0,44.44444444444444,37,137,False,scored,0.111292,0.202098,0.127127,0.171744,87.34939759036145,93.67469879518072,88.95582329317268,91.76706827309236,42.904953145917005,49.230254350736274,44.51137884872824,47.32262382864792
Smallpox,Sorcery,Black,2.0,17456.0,10288.0,23.423423423423422,6,24,False,scored,0.019496,0.004417,0.022022,0.006093,66.06425702811245,43.22289156626506,67.26907630522088,47.640562248995984,42.64083360468903,19.79946814284164,43.845652881797456,24.21713882557256
Brainstorm,Instant,Blue,1.0,7796.0,19948.0,57.35735735735736,639,2603,False,scored,2.114541,2.184428,2.128629,2.236101,99.8995983935743,99.8995983935743,99.8995983935743,99.8995983935743,42.542241036216936,42.542241036216936,42.542241036216936,42.542241036216936
True-Name Nemesis,Creature,Blue,3.0,21375.0,6369.0,13.963963963963964,5,12,False,scored,0.009748,0.001657,0.008509,0.001142,56.12449799196787,33.9859437751004,54.51807228915663,33.433734939759034,42.16053402800391,20.02197981113644,40.554108325192665,19.469770975795072
Dark Ritual,Instant,Black,1.0,7919.0,19825.0,55.705705705705704,160,647,False,scored,0.525589,0.492546,0.517017,0.458492,97.69076305220884,97.28915662650603,97.18875502008032,96.98795180722891,41.98505734650313,41.583450920800324,41.48304931437462,41.28224610152321
Soul Spike,Instant,Black,7.0,23745.0,3999.0,7.5075075075075075,2,8,False,scored,0.006499,0.033131,0.008008,0.04722,49.34738955823293,69.87951807228916,53.56425702811245,74.74899598393574,41.83988205072543,62.372010564781654,46.056749520604946,67.24148847642823
"Valgavoth, Terror Eater",Creature,Black,9.0,18571.0,9173.0,19.21921921921922,16,16,False,scored,0.012998,0.0,0.009009,0.0,60.94377510040161,13.504016064257028,55.12048192771084,13.504016064257028,41.72455588118239,-5.715203154962191,35.90126270849162,-5.715203154962191
Lightning Bolt,Instant,Red,1.0,7863.0,19881.0,56.15615615615616,180,653,False,scored,0.530463,0.595803,0.577578,0.596344,97.79116465863454,97.59036144578313,97.79116465863454,97.59036144578313,41.635008502478385,41.43420528962697,41.635008502478385,41.43420528962697
"Ugin, Eye of the Storms",Planeswalker,Colorless,7.0,13662.0,14082.0,34.68468468468468,18,54,False,scored,0.043867,0.049144,0.051051,0.088728,76.10441767068274,75.60240963855422,77.35943775100401,83.73493975903614,41.41973298599805,40.91772495386954,42.674753066319326,49.050255074351455
Grave Titan,Creature,Black,6.0,21167.0,6577.0,14.714714714714715,4,12,False,scored,0.009748,0.003865,0.006006,0.002666,56.12449799196787,40.16064257028113,47.99196787148594,39.45783132530121,41.409783277253155,25.44592785556641,33.27725315677122,24.74311661058649
Ponder,Sorcery,Blue,1.0,7602.0,20142.0,58.40840840840841,614,2451,False,scored,1.991064,2.052457,2.015516,2.118431,99.79919678714859,99.79919678714859,99.79919678714859,99.79919678714859,41.390788378740176,41.390788378740176,41.390788378740176,41.390788378740176
